3;Verankerung 3;548,00;877,00;0,00;0,00;108717;101817;
4;Verankerung 4;1086,00;1738,00;0,00;0,00;38;101818;
8;;1121,00;1794,00;0,00;0,00;101819;121924;
9;;1241,00;1986,00;0,00;0,00;121925;101824;
10;Haupthinweis;91,00;146,00;0,00;0,00;101825;
12;Verankerung 12;713,00;1141,00;0,00;0,00;119711;101820;
13;;713,00;1141,00;0,00;0,00;119715;101826;
14;;0,00;0,00;0,00;0,00;122114;122115;
15;;1439,00;0,00;0,00;0,00;116336;116341;
16;;1439,00;0,00;0,00;0,00;116337;116342;
17;;713,00;1141,00;0,00;0,00;122134;101815;
